"","Producer","Country"
"5863","Domaine de la Tourette","France                                                                                                                                                "
"5864","Domaine de la Tourlaudiere","France                                                                                                                                                "
"5865","Domaine de la Tourmaline","France                                                                                                                                                "
"5866","Domaine de la Vallongue","France                                                                                                                                                "
"5867","Domaine de la Vieille Cure","France                                                                                                                                                "
"5868","Domaine de la Villaudiere","France                                                                                                                                                "
"5869","Domaine de la Vougeraie","France                                                                                                                                                "
"5870","Domaine de Laballe","France                                                                                                                                                "
"5871","Domaine de Lamothe","France                                                                                                                                                "
"5872","Domaine de Lartigue","France                                                                                                                                                "
"5873","Domaine de Leyre Loup","France                                                                                                                                                "
"5874","Domaine de Lischetto","France                                                                                                                                                "
"5875","Domaine de Magalanne","France                                                                                                                                                "
"5876","Domaine de Magnaut","France                                                                                                                                                "
"5877","Domaine de Maison Neuve","France                                                                                                                                                "
"5878","Domaine de Malavieille","France                                                                                                                                                "
"5879","Domaine de Maubet","France                                                                                                                                                "
"5880","Domaine de Menard","France                                                                                                                                                "
"5881","Domaine de Millet","France                                                                                                                                                "
"5882","Domaine de Mirail","France                                                                                                                                                "
"5883","Domaine de Montille","France                                                                                                                                                "
"5884","Domaine de Moulin Pouzy","France                                                                                                                                                "
"5885","Domaine de Mourchon","France                                                                                                                                                "
"5886","Domaine de Nalys","France                                                                                                                                                "
"5887","Domaine de Nerleux","France                                                                                                                                                "
"5888","Domaine de Nizas","France                                                                                                                                                "
"5889","Domaine de Pajot","France                                                                                                                                                "
"5890","Domaine de Paris","France                                                                                                                                                "
"5891","Domaine de Pellehaut","France                                                                                                                                                "
"5892","Domaine de Pontefract","France                                                                                                                                                "
"5893","Domaine de Ponteveze","France                                                                                                                                                "
"5894","Domaine de Poulvarel","France                                                                                                                                                "
"5895","Domaine de Pouy","France                                                                                                                                                "
"5896","Domaine de Reuilly","France                                                                                                                                                "
"5897","Domaine de Roche Guillon","France                                                                                                                                                "
"5898","Domaine de Rome","France                                                                                                                                                "
"5899","Domaine de Saint Antoine","France                                                                                                                                                "
"5900","Domaine de Saint Guirons","France                                                                                                                                                "
"5901","Domaine de Savagny","France                                                                                                                                                "
"5902","Domaine de Souviou","France                                                                                                                                                "
"5903","Domaine de Sulauze","France                                                                                                                                                "
"5904","Domaine de Suremain","France                                                                                                                                                "
"5905","Domaine de Tara","France                                                                                                                                                "
"5906","Domaine de Terra Vecchia","France                                                                                                                                                "
"5907","Domaine de Terrebrune","France                                                                                                                                                "
"5908","Domaine de Thulon","France                                                                                                                                                "
"5909","Domaine de Val d'Arenc","France                                                                                                                                                "
"5910","Domaine de Valdition","France                                                                                                                                                "
"5911","Domaine de Valmengaux","France                                                                                                                                                "
"5912","Domaine de Vaugondy","France                                                                                                                                                "
"5913","Domaine de Villalin","France                                                                                                                                                "
"5914","Domaine de Villargeau","France                                                                                                                                                "
"5915","Domaine de Viranel","France                                                                                                                                                "
"5916","Domaine de Vodanis","France                                                                                                                                                "
"5917","Domaine Degher","US                                                                                                                                                    "
"5918","Domaine Delaporte","France                                                                                                                                                "
"5919","Domaine Delsol","France                                                                                                                                                "
"5920","Domaine Denis Gaudry","France                                                                                                                                                "
"5921","Domaine Denis Jeandeau","France                                                                                                                                                "
"5922","Domaine des Amoureux","France                                                                                                                                                "
"5923","Domaine des Anges","France                                                                                                                                                "
"5924","Domaine des Aspras","France                                                                                                                                                "
"5925","Domaine des Baguiers","France                                                                                                                                                "
"5926","Domaine des Baumard","France                                                                                                                                                "
"5927","Domaine des Beguineries","France                                                                                                                                                "
"5928","Domaine des Berthiers","France                                                                                                                                                "
"5929","Domaine des Cantarelles","France                                                                                                                                                "
"5930","Domaine des Carteresses","France                                                                                                                                                "
"5931","Domaine des Caves du Prieure","France                                                                                                                                                "
"5932","Domaine des Chers","France                                                                                                                                                "
"5933","Domaine des Cognettes","France                                                                                                                                                "
"5934","Domaine des Coltabards","France                                                                                                                                                "
"5935","Domaine des Comtes Lafon","France                                                                                                                                                "
"5936","Domaine des Corbillieres","France                                                                                                                                                "
"5937","Domaine des Coteaux des Travers","France                                                                                                                                                "
"5938","Domaine des Crets","France                                                                                                                                                "
"5939","Domaine des Croix","France                                                                                                                                                "
"5940","Domaine des Deux Roches","France                                                                                                                                                "
"5941","Domaine des Diables","France                                                                                                                                                "
"5942","Domaine des Elephants","France                                                                                                                                                "
"5943","Domaine des Entrefaux","France                                                                                                                                                "
"5944","Domaine des Fouques","France                                                                                                                                                "
"5945","Domaine des Gandines","France                                                                                                                                                "
"5946","Domaine des Gaudets","France                                                                                                                                                "
"5947","Domaine des Grandes Perrieres","France                                                                                                                                                "
"5948","Domaine des Hauts Chassis","France                                                                                                                                                "
"5949","Domaine des Hospices Civils de Lyon","France                                                                                                                                                "
"5950","Domaine des Lambrays","France                                                                                                                                                "
"5951","Domaine des Levrys","France                                                                                                                                                "
"5952","Domaine des Mapliers","France                                                                                                                                                "
"5953","Domaine des Mariniers","France                                                                                                                                                "
"5954","Domaine des Marrans","France                                                                                                                                                "
"5955","Domaine Des Meix Porons","France                                                                                                                                                "
"5956","Domaine des Mouilles","France                                                                                                                                                "
"5957","Domaine des Nugues","France                                                                                                                                                "
"5958","Domaine des Pasquiers","France                                                                                                                                                "
"5959","Domaine des Perdrix","France                                                                                                                                                "
"5960","Domaine des Pierrettes","France                                                                                                                                                "
"5961","Domaine des Remizieres","France                                                                                                                                                "
"5962","Domaine des Rochelles","France                                                                                                                                                "
"5963","Domaine des Rochers","France                                                                                                                                                "
"5964","Domaine des Roches Neuves","France                                                                                                                                                "
"5965","Domaine des Sabines","France                                                                                                                                                "
"5966","Domaine des Sablonnettes","France                                                                                                                                                "
"5967","Domaine des Terres Dorees","France                                                                                                                                                "
"5968","Domaine des Terrisses","France                                                                                                                                                "
"5969","Domaine des Tilleuls","France                                                                                                                                                "
"5970","Domaine des Tourterelles","France                                                                                                                                                "
"5971","Domaine des Valanges","France                                                                                                                                                "
"5972","Domaine des Varoilles","France                                                                                                                                                "
"5973","Domaine des Vercheres","France                                                                                                                                                "
"5974","Domaine des Vieilles Caves","France                                                                                                                                                "
"5975","Domaine Divio","US                                                                                                                                                    "
"5976","Domaine Dominique Gruhier","France                                                                                                                                                "
"5977","Domaine Dominique Pabiot","France                                                                                                                                                "
"5978","Domaine Don Gonzalo","Argentina                                                                                                                                             "
"5979","Domaine Dozon","France                                                                                                                                                "
"5980","Domaine Dragon","France                                                                                                                                                "
"5981","Domaine Drouhin","US                                                                                                                                                    "
"5982","Domaine Drouhin Laroze","France                                                                                                                                                "
"5983","Domaine Drouhin Oregon","US                                                                                                                                                    "
"5984","Domaine du Castel","Israel                                                                                                                                                "
"5985","Domaine du Chalet Pouilly","France                                                                                                                                                "
"5986","Domaine du Chardonnay","France                                                                                                                                                "
"5987","Domaine du Claouset","France                                                                                                                                                "
"5988","Domaine du Clos d'Alari","France                                                                                                                                                "
"5989","Domaine du Clos de l'Elu","France                                                                                                                                                "
"5990","Domaine du Clos des Fees","France                                                                                                                                                "
"5991","Domaine du Clos du Fief","France                                                                                                                                                "
"5992","Domaine du Clos Gautier","France                                                                                                                                                "
"5993","Domaine du Colombier","France                                                                                                                                                "
"5994","Domaine du Comte Liger Belair","France                                                                                                                                                "
"5995","Domaine du Coudray","France                                                                                                                                                "
"5996","Domaine du Crampilh","France                                                                                                                                                "
"5997","Domaine du Cros","France                                                                                                                                                "
"5998","Domaine du Deffends","France                                                                                                                                                "
"5999","Domaine du Dragon","France                                                                                                                                                "
"6000","Domaine du Fief aux Dames","France                                                                                                                                                "
"6001","Domaine du Gouyat","France                                                                                                                                                "
"6002","Domaine du Grand Bouqueteau","France                                                                                                                                                "
"6003","Domaine du Grand Cros","France                                                                                                                                                "
"6004","Domaine du Grand Montmirail","France                                                                                                                                                "
"6005","Domaine du Grand Tinel","France                                                                                                                                                "
"6006","Domaine du Gros Nore","France                                                                                                                                                "
"6007","Domaine du Haut Bourg","France                                                                                                                                                "
"6008","Domaine du Haut Poncie","France                                                                                                                                                "
"6009","Domaine du Jas d'Esclans","France                                                                                                                                                "
"6010","Domaine du Moulie","France                                                                                                                                                "
"6011","Domaine du Moulin","France                                                                                                                                                "
"6012","Domaine du Moulin Berger","France                                                                                                                                                "
"6013","Domaine du Moulin Pouzay","France                                                                                                                                                "
"6014","Domaine du Pegau","France                                                                                                                                                "
"6015","Domaine du Penlois","France                                                                                                                                                "
"6016","Domaine du Pere Caboche","France                                                                                                                                                "
"6017","Domaine du Petit Bondieu","France                                                                                                                                                "
"6018","Domaine du Petit Clocher","France                                                                                                                                                "
"6019","Domaine du Petit Coteau","France                                                                                                                                                "
"6020","Domaine du Petit Metris","France                                                                                                                                                "
"6021","Domaine du Pradas","France                                                                                                                                                "
"6022","Domaine du Prieure","France                                                                                                                                                "
"6023","Domaine du Prince","France                                                                                                                                                "
"6024","Domaine du Rey","France                                                                                                                                                "
"6025","Domaine du Rin du Bois","France                                                                                                                                                "
"6026","Domaine du Salvard","France                                                                                                                                                "
"6027","Domaine du Tariquet","France                                                                                                                                                "
"6028","Domaine du Theron","France                                                                                                                                                "
"6029","Domaine du Tix","France                                                                                                                                                "
"6030","Domaine du Touch","France                                                                                                                                                "
"6031","Domaine du Touja","France                                                                                                                                                "
"6032","Domaine du Trapadis","France                                                                                                                                                "
"6033","Domaine du Tunnel","France                                                                                                                                                "
"6034","Domaine du Vieil Orme","France                                                                                                                                                "
"6035","Domaine du Vieux Lazaret","France                                                                                                                                                "
"6036","Domaine du Vieux Vauvert","France                                                                                                                                                "
"6037","Domaine du Vissoux","France                                                                                                                                                "
"6038","Domaine du Vistre","France                                                                                                                                                "
"6039","Domaine Dublere","France                                                                                                                                                "
"6040","Domaine Dubost","France                                                                                                                                                "
"6041","Domaine Dugois","France                                                                                                                                                "
"6042","Domaine Dujac","France                                                                                                                                                "
"6043","Domaine Dumas","France                                                                                                                                                "
"6044","Domaine Duperray","France                                                                                                                                                "
"6045","Domaine Dupeuble Pere et Fils","France                                                                                                                                                "
"6046","Domaine Dupre","France                                                                                                                                                "
"6047","Domaine Dupuy de Lome","France                                                                                                                                                "
"6048","Domaine Dyckerhoff","France                                                                                                                                                "
"6049","Domaine Eden","US                                                                                                                                                    "
"6050","Domaine Edmond Cornu","France                                                                                                                                                "
"6051","Domaine Ehrhart","France                                                                                                                                                "
"6052","Domaine Ellevin","France                                                                                                                                                "
"6053","Domaine Emmanuel Fellot","France                                                                                                                                                "
"6054","Domaine Emmanuel Giboulot","France                                                                                                                                                "
"6055","Domaine Ernest Burn","France                                                                                                                                                "
"6056","Domaine Escaravatiers","France                                                                                                                                                "
"6057","Domaine Eugene Meyer","France                                                                                                                                                "
"6058","Domaine Fabrice Larochette","France                                                                                                                                                "
"6059","Domaine Faiveley","France                                                                                                                                                "
"6060","Domaine Fernand Engel","France                                                                                                                                                "
"6061","Domaine Ferret","France                                                                                                                                                "
"6062","Domaine Feuillat Juillot","France                                                                                                                                                "
"6063","Domaine Fincham","France                                                                                                                                                "
"6064","Domaine FL","France                                                                                                                                                "
"6065","Domaine Foivos","Greece                                                                                                                                                "
"6066","Domaine Fond Croze","France                                                                                                                                                "
"6067","Domaine Fond Moiroux","France                                                                                                                                                "
"6068","Domaine Font de Michelle","France                                                                                                                                                "
"6069","Domaine Foretal","France                                                                                                                                                "
"6070","Domaine Fouassier","France                                                                                                                                                "
"6071","Domaine Fourrey","France                                                                                                                                                "
"6072","Domaine Franck Besson","France                                                                                                                                                "
"6073","Domaine Franck Millet","France                                                                                                                                                "
"6074","Domaine Francois Lamarche","France                                                                                                                                                "
"6075","Domaine Francois Schmitt","France                                                                                                                                                "
"6076","Domaine Francoise Andre","France                                                                                                                                                "
"6077","Domaine Fribourg","France                                                                                                                                                "
"6078","Domaine Fritz Schmitt","France                                                                                                                                                "
"6079","Domaine G. Metz","France                                                                                                                                                "
"6080","Domaine Gardies","France                                                                                                                                                "
"6081","Domaine Garnier Fils","France                                                                                                                                                "
"6082","Domaine Gavoty","France                                                                                                                                                "
"6083","Domaine Georg Rafael Vineyards","US                                                                                                                                                    "
"6084","Domaine George","France                                                                                                                                                "
"6085","Domaine Georges Michel","New Zealand                                                                                                                                           "
"6086","Domaine Gerard Charvet","France                                                                                                                                                "
"6087","Domaine Gerard Duplessis","France                                                                                                                                                "
"6088","Domaine Gerard Fiou","France                                                                                                                                                "
"6089","Domaine Gerard Neumeyer","France                                                                                                                                                "
"6090","Domaine Gibault","France                                                                                                                                                "
"6091","Domaine Gilles Chollet","France                                                                                                                                                "
"6092","Domaine Gilles Morat","France                                                                                                                                                "
"6093","Domaine Gioulis","Greece                                                                                                                                                "
"6094","Domaine Girard","France                                                                                                                                                "
"6095","Domaine Gramenon","France                                                                                                                                                "
"6096","Domaine Grand St Paul","France                                                                                                                                                "
"6097","Domaine Gresser","France                                                                                                                                                "
"6098","Domaine Grier","France                                                                                                                                                "
"6099","Domaine Grosbois","France                                                                                                                                                "
"6100","Domaine Grossot","France                                                                                                                                                "
"6101","Domaine Gueguen","France                                                                                                                                                "
"6102","Domaine Guillaman","France                                                                                                                                                "
"6103","Domaine Guillemot Michel","France                                                                                                                                                "
"6104","Domaine Guillot Broux","France                                                                                                                                                "
"6105","Domaine Guindon","France                                                                                                                                                "
"6106","Domaine Guy & Yan Dufouleur","France                                                                                                                                                "
"6107","Domaine Guy & Yvan Dufouleur","France                                                                                                                                                "
